appname,updated,file_size,download,version,compatibility,price,rating_value,star_total,editors_choice,offered_by,description,Language Learning,Computer Engineering,General Learning,Exam Preparation,Maths,Art,other engineering,Educational Gaming,misc
Shinchan Coloring Book,10/26/2017,8.9M,"100,000 - 500,000 ",1,3,install,"
4.8","
398",no,Coloring Games D,"
Learn coloring shin chan cartoon with this easy tutorial, you don't need superheroes skills just take a pencil and start this fun to learn cartoon
You can coloring Shin Chan.

-Comfortable Interface to draw a fun and easy!
- available for offline use!
-All Of your favorite characters are collected in one app

Our tutorials teach you an easy way to coloring

Download this shin chan game, start painting and let us know if you like it in the comment section below.
",0,0,0,0,0,1,0,0,0
GeeksQuiz,12/1/2016,1.6M,"10,000 - 50,000 ",1.3,4.0.3,install,4.6,325,no,geeksforgeeks,"GeeksQuiz is a subsidiary of GeeksforGeeks that was initiated as an effort to provide quality content for computer science subjects, GATE CS exams and placement preparation.
The app contains all quizzes and articles present on GeekQuiz. The Quizzes and articles are mainly on following topics
1) Programming languages like C C++, Java and
2) Data structures (Stack, Queue, Linked List, Tree, etc) Algorithms (Sorting, Searching, Dynamic Programming, Greedy Algorithms, etc)
GATE CS Topics and previous year Question Papers. Computer Science Topics (Operating Systems, DBMS, Compiler Design, Theory of Computation, Discrete Mathematics)",0,1,0,0,0,0,0,0,0
Curiosity,2/1/2018,13M,"
1,000,000 - 5,000,000 ",varies with device,varies with device,install,4.7,"
67,877",no,curiosity.com,"Join millions of people who never stop learning!

From the creators of curiosity.com, the Curiosity app is the best way to get smarter about your world.

Read:
Enjoy short-form, easy to read articles that will inspire you.

Watch:
Watch smart videos from the best hand-picked, educational content creators.

Search:
Search 5,000+ articles and over 1 million curated videos on every topic imaginable.

Personalize:
Like to save your favorites, then follow your favorite categories.

",0,0,1,0,0,0,0,0,0
Ted ,1/29/2018,15M,"10,000,000 - 50,000,000",3.1.15 ,4.1,install,4.6,175560,yes,Ted conferences LLC,"Feed your curiosity and expand your world with TED Talks.

Explore more than 2,000 TED Talks from remarkable people, by topic and mood, from tech and science to the surprises of your own psychology.

Features on Android:
- Browse the entire TED Talks video library, with subtitles in over 100 languages.
- Listen to episodes of the acclaimed TED Radio Hour podcast, a co-production of NPR and TED.
- Listen to TED's new podcast: Sincerely, X, where we dive into ideas shared anonymously.
- Log in to your TED profile to sync saved talks on all devices.
- Download video or audio of talks for offline playback.
- Bookmark talks for later.
- Discover inspiring, funny, or jaw-dropping talks and curated playlists.
- Let us build you a custom playlist, tailored to fit your ideal timeframe
- Play on your device or send to your home entertainment system via Chromecast or with Android TV.

",0,0,1,0,0,0,0,0,0
SmartSchool,10/6/2017,5.8M,"10,000 - 50,000 ",1.8,4.0.3,install,4.5,337,no,SmartSchoolEductaion pvt ltd.,"SmartSchool Tutor is an Education App for students. The App has many features including animated videos, quizzes, interactive games, sample papers and a robust test practise software. The complete content is created by pedagogue experts from leading Educational institutions and have been verified through stringent quality assurance procedures.",0,0,0,1,0,0,0,0,0
Sudoku Free,1/9/2018,25M,"100,000 - 500,000",1.42301,2.3.3,install,4.5,833,no,HDuo Fun Games,"If you like classic math logic puzzles or brain training games, you will love this crossword solver mobile app. In here, an abundance of sudoku conundrum, various level design and cool brain teasers quiz can train your brainpower, bring you unexpected brainstorm!

Whether you are bookworm or number guru genious, our rich free crossword puzzles will make you happy and crazy! The free sudoku puzzles can test whether you are an idiot or prodigy in a moment. So, want have a real try? A new sudoku world is ready. Brainstorming is coming! Join us, search your number dictionary, be a game killer quickly!

We create this free chuzzle game with various key FEATURES:
** 3 types of difficulty levels from sudoku beginners to sudoku killer (easy sudoku, sudoku medium and hard sudoku).
** More than 1000 unlimited number crossword puzzles are waiting for you.
** 5 kinds of sudoku free puzzles, challenge your iq, exercise your deductive mind.
** No wifi cool math games, you can challenge numbers puzzle anytime, anywhere.
** Auto highlight selected numbers, give you sudoku hints, make you be math solver.
** Clear sudoku tutorial, logic puzzles for adults, unique sudoku master training ways.
** Cool visual effect, fun telltale games settings, unlock your brain!
** Our crossword puzzle games support for offline mode, allows you to play sudoku online.
** Killer Suduko: For expert puzzle crossword solvers!
** More kakuro puzzles and lumosity levels will sharpen your mind!

How to play sudoku? The sudoku rules and modes as followed:
**Sudoku 4x4
Each row, column and palace should be filled in number 1,2,3,4 without repeat, Primary simple sudoku for beginners. sudoku borad pic of crossword with numbers makes you feel crazy!
**Sudoku 6x6
Digital 1 to 6 can be chosen. This mode greatly tests your mind tricks plus sudoku tips, make you experience endless logical reasoning puzzles.
**Sudoku 9x9(standard sudoku)
Each row, column and palace contains number 1~9 once. This mode will bring you into puzzle mania. Fun mastermind puzzle game will lead you into sudoku puzzle world.
**Sudoku x
Each row, column and palace and two diagonals of the sudoku grid should be filled in math numbers from 1~9. Play crossword puzzles free mode let you realize the magic of finger arts, be walking sudoku solver!
**Percent sudoku
Each column, row, and each of the nine 3x3 sub-grids that compose the grid block contains digits from 1 to 9.

A fun iq test game!
Sudoku is a FREE logic-based number-placement crossword games, it is not only a bookworm game free, but also a telltale game which can reflex math formula and give your brain attack. Sudoku just like your brain trainer, if you have a dream to be a math magician or math master, this logical reasoning thinking game will very match your taste.

Sudoku is not only a word search game, but a prodigy game, when playing the awesome crossword puzzles free game, you can have a free intelligence test and get free brain training. In standard sudoku mode, tap the four square sudoku grid block, place number in each grid cell of the magic square. Change number to avoid repeat, complete the latin square, learn more math tricks. Unlimited endless sudoku brainteasers is waiting for you to solve. Super sudoku solver master will be you.

A great daily brain training game for kids!
Want experience math practices and logic puzzles with grids? Want be a walking crossword number puzzle sudoku solver? Sudoku will be your greater mathway free helper, and can lead you into math world, let you become math puzzle samurai and bring you unexpected brainstorm, your girls and boys will love it! Choose your level of difficulty, use your strong brain power, this thinking game will make you be sudoku solver. More spiele sudoku techniques is waiting for discovery! A quick and fast lifestyle begins from the word square!

With free math magician games, whether online or offline, you will addict in sudoku saga and get rid of game bookworm, become sudoku king!",0,0,0,0,1,0,0,1,0
NASA,11/8/2017,36M,"5,000,000 - 10,000,000 ",1.74,4.4,install,4.4,94598,no,NASA,"Come explore with NASA and discover the latest images, videos, mission information, news, feature stories, tweets, NASA TV and featured content with the NASA app.

Features:
- View over 16,000 images (and growing everyday)
- Watch live NASA TV
- Read all the latest news and features stories
- Watch over 14,000 NASA videos from around the agency
- Discover the latest NASA mission Information
- View upcoming sighting opportunities for the International Space Station and get notifications before they happen
- Watch live streaming video from the High Definition Earth Viewing (HDEV) experiment on the International Space Station
- Display satellite tracking 2D maps and 3D earth models with the International Space Station and other Earth orbiting satellites
- Get the latest tweets from around the agency
- Rate images and also check out which ones make the top rated list
- Select your own favorite images or missions and get quick access to them
- Map, information and links to all of the NASA visitor centers
- Explore the featured content section with 3D planet models and information
- View the Earth as Art image collection and interactive map
- Listen to Third Rock Radio (alternative rock radio station)
- Easily share everything with your friends on social media",0,0,0,0,0,0,0,0,1
Kids Videos & Nursery Rhymes - Kids First,12/22/2013,9.5M,"1,000,000 - 5,000,000 ",2.1.3 ,4.1,install,4.5,"
2,549",no,Looke Digital,"From one of the world's largest kids network on YouTube and from makers of Kids TV and Kids Channel having over 18 Billion Views and 25+ Million subscribers comes Kids First. Kids First is your go-to destination for EduTainment (Education + Entertainment) videos for pre-schoolers and young kids.

Come watch and learn with Bob The Train, Farmees, Monster Truck Dan, Baby Bao Panda, etc... where these favorite characters will teach you numbers, alphabets, ABC, Phonics, Colors, Shapes and much more.

We make learning fun while providing 10,000+ Kids safe and Family Safe videos available for you to watch in HD Quality and English language.

Young kids, pre-schoolers, toddlers, and babies will love watching these videos and learn while they have fun watching.

Upon launching the Kids First app, you the viewer will get a choice of selecting multiple content categories to choose your videos from. Each content category has multiple videos that will enrich the child's learning experience. These videos and the content showcased in these videos has been prepared under strict observation and guidelines of pre-school education experts who have many years of experience in this domain.

In Kids First, the viewer has the option to select any of the recommended videos from the list shown at any time during playback of the video or else, the service will automatically play the next video in the queue upon completion.",0,0,1,0,0,0,0,0,0
BRIO World - Railway,9/22/2017,73M,"10,000 - 50,000 ",4.0.3 ,4.1,Buy-Rs.190,4.4,266,no,Filimundas AB,"Build your own BRIO railway!

In this app you can build your own railway with all the classic parts from the world of BRIO. You can lay down tracks, place stations and figures, combine your own train sets and travel out to solve missions in an amazing train world.

The app stimulates creative play where kids can create their own world and play freely. When they play in the world and solve missions they receive more elements to build with.

Features
- Build your own railway with an awesome collection of parts
- Create amazing train sets with more than 50 different train parts
- Jump into the trains and ride on your own track
- Help the characters in different missions in the world and collect joy to unlock new elements to build with
- Load cargo with cranes
- Feed the animals to make them happy
- Create up to five different profiles in the app

The app is suitable for kids between 3 and 10 years old.

KID SAFETY
The safety of kids is very important for us at Filimundus and BRIO. There is no offensive or explicit material in this app, no ads and no IAP (in app purchases).

About FILIMUNDUS
Filimundus is a swedish gamestudio focused in creating developing games for kids. We want to stimulate learning by giving them challenges where they can create things and then play with it. We believe in giving kids a creative environment where they can develop through open ended play. Visit us at: www.filimundus.se

About BRIO
For over a century, our driving force has been to spread joy among children around the world. We want to create happy childhood memories where the imagination is allowed to flow freely. BRIO is a Swedish toy brand that creates innovative, high-quality and well-designed wooden toys that give children a safe and fun play experience. The company was founded in 1884 and is represented in over 30 countries. For more information, please visit www.brio.net.

",0,0,0,0,0,0,0,1,0
Luminosity,2/5/2018,63M,"10,000,000 - 50,000,000 ",varies with device,varies with device,install,4.2,206239,yes,Lumnos Labs. Inc,"Used by over 85 million people worldwide, Lumosity offers a comprehensive brain training program with 30+ brain games. Start challenging your Memory, Attention and more today!

Here's what you'll get:

Daily workouts that draw from 30+ brain games to challenge 5 core cognitive abilities.

Workout Modes: carefully curated sets of games that use your training habits and preferences to target different ways to train your brain

Detailed Insights: analysis of your game play that sheds light on your game strengths, weaknesses and cognitive patterns — giving you a deeper understanding of your training.

THE STORY BEHIND LUMOSITY

We’re a team of scientists and designers exploring new ways to challenge the brain and push cognitive research forward.

Our scientists take common cognitive and neuropsychological tasks, or design entirely new, experimental challenges. Working with experienced designers, they transform these tasks into fun games that challenge core cognitive skills.

We also work with 40+ university researchers worldwide. We give qualified researchers free access to Lumosity training and tools — helping them investigate new areas in cognition.

As we learn more about the possibilities of brain training, we invite you to train with us, and join us in our mission to advance the understanding of human cognition.

The app is available in English, German, Japanese, French, Spanish, Portuguese and Korean. To access the app in one of our languages, change your device setting to the desired language. English is the default language for devices not set to one of our supported languages.
",0,0,0,0,0,0,0,1,0
Baby Ava Daily Activities,1/6/2018,45M,"500,000 - 1,000,000 ",1.0.0 ,4,install,4.3,"1,053",no,GameiMake,"Baby Ava Daily Activities is a game about learning activities of our day to day life. This game is a collection of many activities with fun tasks, which are necessary in our regular life. In this Daily Routine Activities game, there is cute and little baby Ava who requires your help to complete her daily routine activities. There are so many routine activities which are not easy for Baby Ava like proper washing of hands and face, brushing teeth, taking a bath, cutting nails, doing hair, dressing up, eating healthy food, maintaining cleanliness, maintaining sleep time and many more.

This famiy educational game covers all the activities we do in our routine life. So become a babysitter in this baby care game and help baby Ava to complete these activities in a proper way and don't make her cry. This game helps Family to learn quickly daily activities with lots of fun.

Key Features of Baby Ava Daily Activities game:

- Quick learning game for Family
- Manners of routine activities
- Over 40+ daily activities
- Maintaining cleanliness
- Watch Ava with different moods and expressions
- Read and enjoy Bedtime stories
- Know How to eat food properly
- Family learn everything with fun in this daycare game
- Entertainment with Ava

Help your Family by giving them such a wonderful learning game that teach them, how to do their daily life activities and baby Ava will entertain them for hours.",0,0,0,0,0,0,0,1,0
Driving Test,6/11/2017,9.7M,100000-500000,1.6,2.3,install,4.6,923,no,Koliuzhnov Viacheslav,"Learn to understand the ""ABC"" traffic controller!
Novice drivers afraid of the word adjuster itself.
Experienced drivers are also not often meet with him on the road and start to forget its signals.
The game - a simulator of traffic rules will help you understand and learn the traffic signals traffic controller.
Have you always dreamed of becoming an authorized movement? This is your chance!

You adjuster movement and can indicate the direction of movement of the vehicle.
But do not make drivers wait too long. Residents angry and you will be fired from work
Take the control of traffic on different intersections and ensure safe driving on the road.

You can easily and quickly get to practice the skills of correct directions controlled intersection.
Developing reaction, observation and the ability to properly assess the situation, learn how to quickly make the right decision.
The game is available at different levels of difficulty that will help all novice drivers learn the deeper regulator signals and experienced drivers to repeat them.
In this application, all of the most relevant: knowledge of roundabouts, traffic rules, traffic simulator.
As a result, you are the most knowledgeable and competent motorist.
Preparation for the exam in the traffic police will be easy and fun!
In the game you will learn in which direction you are allowed to move accurately remember what should guide drivers, if the regulator signals are contrary to the requirements of traffic lights and road signs.

Benefits
* Visibility and interactivity
* Possibility of multiple repetition of the situation
* All modes of transport: cars, trucks, motorcycles.
* Different types of intersections
* Situations different levels of complexity

Our app will prepare you for a successful delivery of the traffic police exam.
So there you go to learn and play!
",0,0,0,0,0,0,0,0,1
Aerospace Engineering,12/1/2017,22M,1000-5000,1.7.0,4.1,install,4.3,28,no,Shanthi Mary Creations,"This App is suitable For Aircraft Related Studies:
-Aeronautical Engineering
-Aircraft Maintenance Engineering
-Aerospace Engineering
-Pilots
-Aircraft Engineering
-Airframe Engineering
-mechanical Engineering
-Aircraft Engine systems

Topics covered in this Application.
Aircraft Engine Types
-Aircraft Jetengine
-Aircraft Turboprop Engine
-Aircraft Turbofan Engine
-Aircraft Turboshaft Engine
-Ramjet

Engine Parts
-Inlet
-compressor
-combustor
-Turbine
-Exhaust",0,0,0,0,0,0,1,0,0
Solar Walk Lite-Planetarium 3D:Planets System,5/2/2017,46M,500000-1000000,2.5.1.5,4.0.3,install,4.7,13425,no,Vito Technology,"An awesome 3D model of our Solar system for you to explore space! Solar Walk Lite - Planetarium app 3D is a time-sensitive space simulator showing the real orbits, order, scale and motion of the Sun, allowing you to explore all the 8 planets in real time, more than 20 moons, dwarfs, asteroids, comets, 9 Earth satellites, 9 dwarf planets and more than 50 stars. You can find and explore any celestial body with this amazing solar system app!

The Lite version of the well-known space simulator is absolutely free, ad-supported and very small in size but contains all the main features and objects of our Solar system.

NO INTERNET CONNECTION IS REQUIRED!
The app works perfectly without Internet connection (except for gallery and Wikipedia).

Explore space and get a little closer to our wonderful universe with this awesome 3d model of our Solar system!

Main Features:

Space simulator: realistic space view with real-time positions, order, size, the inner structure of Solar system planets and moons, their orbits, stars, comets, satellites and other celestial bodies. Every planet and the celestial body has an extensive information: size, mass, orbital velocity, exploratory missions, the thickness of structural layers, and photo gallery with real photos taken by telescopes or NASA spacecraft during the space missions. Orrery Mode on/off - to see the schematic or realistic sizes and distances between the space objects. Anaglyph 3D on/off - if you have anaglyph 3D glasses you can choose this option to navigate through the universe and enjoy the beauty of space.Zoom-in to see objects in close up and Zoom-out to see the position of our Solar system in Galaxy.
3D models of spacecraft in the application are based on scientific data collected by ESA and NASA spacecraft and ground-based telescopes.

The best encyclopedia of the Solar system!

This is a great planetarium 3D app for the space explorers. It works great for both kids and adults. Kids love learning about space, and the amazing graphics and information provided in this space simulator make it engaging and captivating. Kids will also enjoy ""travel"" through space to get an up-close view of the planets, moons, and stars. In fact, adults may not be able to put this app down either!
This space simulator is excellent for teachers to use for instruction, and it is a great resource for students to explore planets and space as they learn more about the universe we live in. With Solar Walk Lite - Planetarium app 3D you don't need a telescope to see the planets for real.

This 3D model of our solar system is a must-have for all space enthusiasts! Explore space with Solar Walk Lite!

Planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune.
Moons: Phobos, Deimos, Callisto, Ganymede, Europa, Io, Hyperion, Iapetus, Titan, Rhea, Dione, Tethys, Enceladus, Mimas, Oberon, Titania, Umbriel, Ariel, Miranda, Triton, Larissa, Proteus, Nereid, Charon
Dwarfs and asteroids: Pluto, Ceres, Makemake, Haumea, Sedna, Eris, Eros
Comets: Hale-Bopp, Borrelly, Halley’s Comet, Ikeya-Zhang
Satellites: SEASAT, ERBS, Hubble Space Telescope, International Space Station (ISS), Aqua, Envisat, Suzaku, Daichi, CORONAS-Photon
Stars: Sun, Sirius, Betelgeuse, Rigel Kentaurus.",0,0,0,0,0,0,0,0,1
